"used","BCP 47","Writing system (ISO 15924 codes)","Writing system name (English)","ZomboDB analyzer","Language name (and writing system) in English","Directionality","Local language name","Romanized language name","English Wikipedia article","Local Wikipedia article","Comment","TODO USE THIS:","https://github.com/unicode-org/cldr-json/blob/master/cldr-json/cldr-localenames-modern/main/nl/languages.json"
,"aa","Latn","Latin",,"Afar","ltr","Afar",,"en:Afar language",,,,
,"ab","Cyrl","Cyrillic",,"Abkhazian","ltr","Аҧсуа",,"en:Abkhazian language",,,,
,"af","Latn","Latin",,"Afrikaans","ltr","Afrikaans",,"en:Afrikaans language",,,,
,"ak","Latn","Latin",,"Akan","ltr","Akana",,"en:Akan language",,,,
,"als",,,,"Alemannic","ltr","Alemannisch",,"en:Alemannic language",,,,
"y","am","Armn","Armenian","armenian","Amharic","ltr","አማርኛ",,"en:Amharic language",,,,
,"an","Ethi","Ethiopic (Geʻez)",,"Aragonese","ltr","Aragonés",,"en:Aragonese language",,,,
"y","ar","Arab","Arabic","arabic","Arabic","rtl","العربية",,"en:Arabic language",,,,
,"arc","Syrc","Classical Syriac",,"Aramaic","rtl","ܣܘܪܬ",,"en:Assyrian Neo-Aramaic language",,,,
,"as","Beng","Bengali",,"Assamese","ltr","অসমীয়া",,"en:Assamese language",,,,
,"ast",,,,"Asturian","ltr","Asturianu",,"en:Asturian language",,,,
,"av","Cyrl","Cyrillic",,"Avar","ltr","Авар",,"en:Avar language",,,,
,"awa",,,,"Awadhi","ltr","Awadhi",,"en:Awadhi language",,,,
,"ay","Latn","Latin",,"Aymara","ltr","Aymar",,"en:Aymara language",,,,
"y","az","Latn","Latin",,"Azerbaijani","ltr","Azərbaycanca",,"en:Azerbaijani language",,,,
,"ba","Cyrl","Cyrillic",,"Bashkir","ltr","Башҡорт",,"en:Bashkir language",,,,
,"bar",,,,"Bavarian","ltr","Boarisch",,"en:Bavarian language",,,,
,"bcl",,,,"Bikol","ltr","Bikol Central",,"en:Bikol language",,,,
,"be","Cyrl","Cyrillic","russian","Belarusian","ltr","Беларуская",,"en:Belarusian language",,,,
"y","tmz","Latn","Latin",,"Berber / Tamazight","ltr","Tamazight",,"en:Berber languages",,,,
"y","bg","Cyrl","Cyrillic","bulgarian","Bulgarian","ltr","Български",,"en:Bulgarian language","bg:Български език",,,
,"bh","Deva","Devanagari (Nagari)",,"Bihari","ltr","भोजपुरी",,"en:Bihari language",,,,
,"bi","Latn","Latin",,"Bislama","ltr","Bislama",,"en:Bislama language",,,,
,"bm","Latn","Latin",,"Bambara","ltr","Bamanankan",,"en:Bambara language",,,,
,"bms",,,,"Banyumasan","ltr","Basa Banyumasan",,"en:Banyumasan language",,"NO ISO CODE",,
"y","bn","Beng","Bengali",,"Bengali","ltr","বাংলা",,"en:Bengali language",,,,
,"bo","Deva","Devanagari (Nagari)",,"Boro","ltr","बड़",,"en:Boro language",,,,
,"bo","Tibt","Tibetan",,"Tibetan","ltr","བོད་ཡིག","Bod skad","en:Tibetan language",,,,
,"bpy","Beng","Bengali",,"Bishnupriya Manipuri","ltr","ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী",,"en:Bishnupriya Manipuri language",,,,
,"br","Latn","Latin",,"Breton","ltr","Brezhoneg",,"en:Breton language",,,,
"y","bs","Latn","Latin",,"Bosnian","ltr","Bosanski",,"en:Bosnian language",,,,
,"bug","Bugi","Buginese",,"Buginese","ltr","ᨅᨔ ᨕᨘᨁᨗ","Basa Ugi","en:Buginese language",,,,
,"bxr","Cyrl","Cyrillic",,"Buriat (Russia)","ltr","Буряад хэлэн",,"en:Buryat language",,,,
,"ca","Latn","Latin","catalan","Catalan","ltr","Català",,"en:Catalan language","ca:Català",,,
,"cdo",,,"chinese","Min Dong Chinese","ltr","閩東語","Mìng-dĕ̤ng-ngṳ̄ ","en:Min Dong language",,,,
,"ce","Cyrl","Cyrillic",,"Chechen","ltr","Нохчийн",,"en:Chechen language",,,,
,"ceb",,,,"Cebuano","ltr","Sinugboanong Binisaya",,"en:Cebuano language",,,,
,"ch","Latn","Latin",,"Chamorro","ltr","Chamoru",,"en:Chamorro language",,,,
,"cho",,,,"Choctaw","ltr","Choctaw",,"en:Choctaw language",,,,
,"chr","Cher","Cherokee",,"Cherokee","ltr","ᏣᎳᎩ","Tsalagi","en:Cherokee language",,,,
,"chy",,,,"Cheyenne","ltr","Tsetsêhestâhese",,"en:Cheyenne language",,,,
,"ckb","Aran","Arabic (Nastaliq variant)","sorani","Sorani","rtl","سۆرانی",,"en:Sorani language",,,,
,"co","Latn","Latin",,"Corsican","ltr","Corsu",,"en:Corsican language",,,,
,"cr","Latn","Latin",,"Cree","ltr","Nehiyaw",,"en:Cree language",,,,
"y","cs","Latn","Latin","czech","Czech","ltr","Česky",,"en:Czech language","cs:Čeština",,,
,"csb","Latn","Latin",,"Kashubian","ltr","Kaszëbsczi",,"en:Kashubian language",,,,
,"cv","Cyrl","Cyrillic",,"Chuvash","ltr","Чăваш",,"en:Chuvash language",,,,
,"cy","Latn","Latin",,"Welsh","ltr","Cymraeg",,"en:Welsh language",,,,
,"da","Latn","Latin","danish","Danish","ltr","Dansk",,"en:Danish language","da:Dansk (sprog)",,,
"y","de","Latn","Latin","german","German","ltr","Deutsch",,"en:German language","de:Deutsche Sprache",,,
,"diq",,,,"Dimli","ltr","Zazaki",,"en:Zaza language","diq:Zazaki",,,
,"dsb",,,,"Lower Sorbian","ltr","Dolnoserbski",,"en:Lower Sorbian language",,,,
"y","dv","Thaa","Thaana",,"Divehi","rtl","ދިވެހިބަސް",,"en:Divehi language",,,,
,"dz","Tibt","Tibetan",,"Dzongkha","ltr","ཇོང་ཁ",,"en:Dzongkha language",,,,
,"ee","Latn","Latin",,"Ewe","ltr","Ɛʋɛ",,"en:Ewe language",,,,
,"el","Grek","Greek","greek","Greek","ltr","Ελληνικά",,"en:Greek language","el:Ελληνική γλώσσα",,,
"y","en","Latn","Latin","english","English","ltr","English",,"en:English language",,,,
,"eo","Latn","Latin",,"Esperanto","ltr","Esperanto",,"en:Esperanto","eo:Esperanto",,,
"y","es","Latn","Latin","spanish","Spanish","ltr","Español",,"en:Spanish language","es:Idioma español",,,
,"et","Latn","Latin",,"Estonian","ltr","Eesti",,"en:Estonian language",,,,
,"eu","Latn","Latin","basque","Basque","ltr","Euskara",,"en:Basque language",,,,
,"ext","Latn","Latin",,"Extremaduran","ltr","Estremeñu",,"en:Extremaduran language",,,,
"y","fa","Aran","Arabic (Nastaliq variant)","persian","Persian","rtl","فارسی",,"en:Persian language",,,,
,"ff","Latn","Latin",,"Peul","ltr","Fulfulde",,"en:Peul language",,,,
"y","fi","Latn","Latin","finnish","Finnish","ltr","Suomi",,"en:Finnish language","fi:Suomen kieli",,,
,"fj","Latn","Latin",,"Fijian","ltr","Na Vosa Vakaviti",,"en:Fijian language",,,,
,"fo","Latn","Latin",,"Faroese","ltr","Føroyskt",,"en:Faroese language",,,,
"y","fr","Latn","Latin","french","French","ltr","Français",,"en:French language","fr:Français",,,
,"frp","Latn","Latin",,"Arpitan / Franco-Provençal","ltr","Arpitan / francoprovençal",,"en:Franco-Provençal/Arpitan language",,,,
,"fur",,,,"Friulian","ltr","Furlan",,"en:Friulian language",,,,
,"fy","Latn","Latin",,"West Frisian","ltr","Frysk",,"en:West Frisian language",,,,
,"ga","Latn","Latin","irish","Irish","ltr","Gaeilge",,"en:Irish Gaelic language",,,,
,"gan",,,"chinese","Gan Chinese","ltr","贛語",,"en:Gan language",,,,
,"gbm",,,,"Garhwali","ltr","गढ़वळी",,"en:Garhwali language",,,,
,"gd","Latn","Latin",,"Scottish Gaelic","ltr","Gàidhlig",,"en:Scottish Gaelic language",,,,
,"gil",,,,"Gilbertese","ltr","Taetae ni kiribati",,"en:Gilbertese language",,,,
,"gl","Latn","Latin","galician","Galician","ltr","Galego",,"en:Galician language",,,,
,"gn","Latn","Latin",,"Guarani","ltr","Avañe'ẽ",,"en:Guarani language",,,,
,"got",,,,"Gothic","ltr","gutisk",,"en:Gothic language",,,,
,"gu","Gujr","Gujurati script",,"Gujarati","ltr","ગુજરાતી",,"en:Gujarati language",,,,
,"gv","Latn","Latin",,"Manx","ltr","Gaelg",,"en:Manx language",,,,
"y","ha","Latn","Latin (Boko alphabet)",,"Hausa","ltr","Hausa",,"en:Hausa language",,,,
,"hak",,,"chinese","Hakka Chinese","ltr","客家語","Hak-kâ-ngî","en:Hakka language",,,,
,"haw","Latn","Latin",,"Hawaiian","ltr","Hawai`i",,"en:Hawaiian language",,,,
,"he","Hebr","Hebrew",,"Hebrew","rtl","עברית",,"en:Hebrew language","he:עברית",,,
"y","hi","Deva","Devanagari (Nagari)","hindi","Hindi","ltr","हिन्दी",,"en:Hindi language",,,,
,"ho","Latn","Latin",,"Hiri Motu","ltr","Hiri Motu",,"en:Hiri Motu language",,,,
,"hr","Latn","Latin",,"Croatian","ltr","Hrvatski",,"en:Croatian language",,,,
,"ht","Latn","Latin",,"Haitian","ltr","Krèyol ayisyen",,"en:Haitian language",,,,
,"hu","Latn","Latin","hungarian","Hungarian","ltr","Magyar",,"en:Hungarian language","hu:Magyar nyelv",,,
,"hy","Armn","Armenian",,"Armenian","ltr","Հայերեն",,"en:Armenian language",,,,
,"hz",,,,"Herero","ltr","Otsiherero",,"en:Herero language",,,,
,"ia","Latn","Latin",,"Interlingua","ltr","Interlingua",,"en:Interlingua language",,,,
"y","id","Latn","Latin","indonesian","Indonesian","ltr","Bahasa Indonesia",,"en:Indonesian language","id:Bahasa Indonesia",,,
,"ie","Latn","Latin",,"Interlingue","ltr","Interlingue",,"en:Interlingue language",,,,
,"ig","Latn","Latin",,"Igbo","ltr","Igbo",,"en:Igbo language",,,,
,"ik","Latn","Latin",,"Inupiak","ltr","Iñupiak",,"en:Inupiak language",,,,
,"ilo","Latn","Latin",,"Ilokano","ltr","Ilokano",,"en:Ilokano language",,,,
,"inh","Cyrl","Cyrillic",,"Ingush","ltr","ГӀалгӀай",,"en:Ingush language",,,,
,"io","Latn","Latin",,"Ido","ltr","Ido",,"en:Ido language",,,,
,"is","Latn","Latin",,"Icelandic","ltr","Íslenska",,"en:Icelandic language",,,,
"y","it","Latn","Latin","italian","Italian","ltr","Italiano",,"en:Italian language","it:Lingua italiana",,,
,"iu","Cans","Unified Canadian Aboriginal Syllabics",,"Inuktitut","ltr","ᐃᓄᒃᑎᑐᑦ",,"en:Inuktitut language",,,,
"y","ja","Jpan","Japanese","cjk","Japanese","ltr","日本語",,"en:Japanese language","ja:日本語",,,
,"jbo",,,,"Lojban","ltr","Lojban",,"en:Lojban language",,,,
,"jv","Latn","Latin",,"Javanese","ltr","Basa Jawa",,"en:Javanese language",,,,
,"ka","Geor","Georgian (Mkhedruli and Mtavruli)",,"Georgian","ltr","ქართული",,"en:Georgian language",,,,
